                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6375,                 1.1506,                 1.3044,                0.75676,                 0.5113,                0.59019,                0.31846,                  1.553,                0.97702,                 1.2474,               0.067018,             0.00033315,             0.00033315
                      2,                  1.551,                 0.9986,                 1.2662,                0.77586,                0.53063,                0.61893,                0.34178,                 1.4885,                0.88755,                 1.2321,               0.034018,             0.00066583,             0.00066583
                      3,                 1.5294,                0.96554,                 1.2583,                 0.7816,                0.53956,                0.62633,                0.35071,                 1.4669,                0.85788,                 1.2226,              0.0010144,             0.00099591,             0.00099591
                      4,                 1.5089,                0.94271,                 1.2484,                0.78831,                0.55699,                0.64231,                0.36172,                  1.443,                0.85608,                 1.2053,             0.00099123,             0.00099123,             0.00099123
                      5,                 1.4911,                 0.9204,                 1.2372,                0.80357,                0.54895,                0.64366,                0.36275,                 1.4316,                0.82065,                 1.2064,             0.00098445,             0.00098445,             0.00098445
                      6,                 1.4776,                0.90955,                 1.2329,                0.79858,                0.55865,                0.65258,                0.37141,                 1.4191,                0.81264,                  1.196,             0.00097577,             0.00097577,             0.00097577
                      7,                 1.4675,                0.90118,                 1.2282,                0.80514,                0.55876,                0.65462,                0.37372,                 1.4105,                0.80858,                  1.192,             0.00096524,             0.00096524,             0.00096524
                      8,                 1.4593,                0.89029,                 1.2215,                 0.8063,                0.56864,                 0.6561,                0.37508,                 1.4004,                 0.8073,                 1.1841,             0.00095289,             0.00095289,             0.00095289
                      9,                 1.4494,                0.88127,                 1.2206,                0.80228,                0.57265,                0.65984,                0.37768,                 1.3989,                0.80556,                 1.1866,             0.00093877,             0.00093877,             0.00093877
                     10,                 1.4469,                0.87762,                 1.2163,                0.81185,                0.56491,                0.66138,                0.38122,                 1.3925,                0.78685,                 1.1785,             0.00092294,             0.00092294,             0.00092294
                     11,                 1.4449,                0.87217,                 1.2137,                0.81173,                0.57226,                0.66586,                0.38524,                 1.3818,                0.77597,                 1.1771,             0.00090546,             0.00090546,             0.00090546
                     12,                 1.4345,                0.86688,                 1.2107,                 0.8181,                0.57581,                0.67084,                0.39001,                 1.3745,                0.76446,                   1.17,              0.0008864,              0.0008864,              0.0008864
                     13,                 1.4267,                0.86016,                 1.2071,                0.81524,                0.57879,                0.67111,                0.39182,                 1.3635,                0.76358,                 1.1686,             0.00086584,             0.00086584,             0.00086584
                     14,                 1.4224,                0.85248,                 1.2064,                0.81444,                0.58005,                0.67268,                0.39132,                 1.3655,                 0.7645,                 1.1668,             0.00084385,             0.00084385,             0.00084385
                     15,                 1.4194,                0.85049,                 1.2032,                 0.8166,                0.58162,                0.67357,                0.39236,                 1.3591,                0.75643,                 1.1608,             0.00082052,             0.00082052,             0.00082052
                     16,                 1.4182,                 0.8488,                 1.2018,                0.81962,                0.58455,                0.67544,                0.39526,                 1.3546,                0.75106,                 1.1616,             0.00079595,             0.00079595,             0.00079595
                     17,                 1.4135,                0.84495,                 1.1997,                0.82174,                  0.587,                0.68085,                0.39925,                 1.3478,                0.74901,                 1.1587,             0.00077023,             0.00077023,             0.00077023
                     18,                 1.4061,                 0.8384,                 1.1968,                 0.8195,                0.58817,                0.67938,                0.39862,                 1.3449,                0.74629,                 1.1569,             0.00074347,             0.00074347,             0.00074347
